Extra options: []
Measured: 10 times

Total Average: 346.137300 msec
Total Max:     586.829000 msec
Total Min:     208.216000 msec

  AVERAGE       MAX       MIN
------------------------------
57.618500 76.718000 44.272000: /Users/s09104/.config/nvim/init.vim
31.929000 76.115000  9.948000: loading rtp plugins
13.106500 29.239000  7.468000: /Users/s09104/.config/nvim/settings/init/plug.vim
12.431400 14.091000 10.466000: /Users/s09104/.config/nvim/settings/plugconfig/telescope.lua
12.374300 14.176000 10.476000: /Users/s09104/.config/nvim/settings/plugconfig/mason.lua
11.782800 13.407000  9.983000: require('telescope.builtin')
11.733200 18.161000  6.791000: inits 1
11.565000 13.200000  9.799000: require('telescope.builtin.__lsp')
 0.285200  0.635000  0.151000: /Users/s09104/.vim/plugged/winresizer/plugin/winresizer.vim
 0.271400  0.324000  0.246000: require('vim.lsp._snippet')
 0.270800  0.316000  0.246000: require('telescope.entry_manager')
 0.269300  1.143000  0.028000: /Users/s09104/.config/nvim/settings/plugconfig/memolist.vim
 0.268600  0.479000  0.213000: require('_copilot')
 0.254200  0.283000  0.234000: require('cmp.config.default')
 0.252100  0.496000  0.184000: require('plenary.log')
 0.250200  0.445000  0.172000: init lua interpreter
 0.250000  0.313000  0.219000: require('plenary.window.border')
 0.249300  0.295000  0.216000: require('cmp.utils.window')
 0.243700  1.107000  0.128000: require('mason-core.functional')
 0.240400  0.289000  0.191000: expanding arguments
 0.239800  0.730000  0.147000: require('nvim-treesitter.query_predicates')
 0.239000  0.258000  0.217000: require('cmp.utils.str')
 0.232500  1.432000  0.053000: /opt/homebrew/Cellar/neovim/0.9.1/share/nvim/runtime/plugin/tohtml.vim
 0.227900  0.481000  0.178000: require('vim.lsp.codelens')
 0.216600  0.599000  0.159000: require('vim.lsp.diagnostic')
 0.216200  0.819000  0.091000: require('telescope._extensions')
 0.214700  0.293000  0.174000: require('plenary.async.tests')
 0.208400  1.057000  0.079000: /opt/homebrew/Cellar/neovim/0.9.1/share/nvim/runtime/plugin/gzip.vim
 0.208300  0.484000  0.105000: loading packages
 0.206500  0.290000  0.185000: require('plenary.vararg.rotate')
 0.205600  0.245000  0.173000: require('telescope.mappings')
 0.202600  0.282000  0.184000: require('vim.lsp.log')
 0.199100  0.236000  0.179000: require('mason-core.functional.function')
 0.198700  0.719000  0.126000: require('telescope.debounce')
 0.198600  0.212000  0.181000: require('plenary.bit')
 0.197000  0.209000  0.166000: require('vim.lsp.sync')
 0.196600  0.232000  0.163000: require('cmp.context')
 0.193100  0.242000  0.141000: require('telescope.actions.mt')
 0.191700  0.382000  0.141000: require('nvim-treesitter.info')
 0.190400  0.271000  0.172000: require('nvim-treesitter.shell_command_selectors')
 0.190200  1.325000  0.030000: /opt/homebrew/Cellar/neovim/0.9.1/share/nvim/runtime/plugin/editorconfig.lua
 0.186100  0.304000  0.133000: require('telescope.config.resolve')
 0.184600  0.769000  0.079000: require('cmp.utils.highlight')
 0.182500  0.383000  0.125000: require('fidget.spinners')
 0.180700  0.232000  0.130000: require('fidget.log')
 0.177300  0.441000  0.139000: require('nvim-treesitter.utils')
 0.172800  0.743000  0.051000: /Users/s09104/.vim/plugged/vim-vsnip/autoload/vital/_vsnip/VS/LSP/Position.vim
 0.172000  0.269000  0.135000: require('mason-core.functional.list')
 0.170400  0.492000  0.072000: /opt/homebrew/Cellar/neovim/0.9.1/share/nvim/runtime/pack/dist/opt/matchit/plugin/matchit.vim
 0.168000  0.247000  0.117000: require('trouble.config')
 0.167700  0.176000  0.157000: init highlight
 0.167200  0.185000  0.148000: require('cmp.view.wildmenu_entries_view')
 0.166800  0.200000  0.146000: /Users/s09104/.vim/plugged/vim-vsnip/autoload/vital/vsnip.vim
 0.165000  0.214000  0.134000: require('mason-core.async')
 0.161500  0.175000  0.149000: require('mason-core.log')
 0.155900  0.358000  0.113000: require('telescope.pickers.highlights')
 0.155300  0.321000  0.130000: require('cmp.utils.misc')
 0.154200  0.172000  0.142000: require('cmp.config.compare')
 0.154000  0.188000  0.128000: require('cmp.matcher')
 0.151200  0.613000  0.069000: /opt/homebrew/Cellar/neovim/0.9.1/share/nvim/runtime/plugin/rplugin.vim
 0.150100  0.219000  0.124000: require('cmp.types.lsp')
 0.149100  0.169000  0.119000: require('telescope.actions.utils')
 0.148500  0.161000  0.120000: require('telescope.pickers.scroller')
 0.147400  0.176000  0.115000: require('mason-core.terminator')
 0.146300  0.189000  0.115000: require('cmp_nvim_lsp.source')
 0.145100  0.164000  0.121000: require('vim.highlight')
 0.144200  0.224000  0.111000: require('vim.treesitter._range')
 0.139800  0.184000  0.113000: require('vim.treesitter.language')
 0.136800  0.424000  0.082000: require('mason-core.optional')
 0.135000  0.224000  0.105000: require('vim._init_packages')
 0.133500  0.385000  0.074000: /Users/s09104/.vim/plugged/vim-gitgutter/autoload/gitgutter/utility.vim
 0.133200  0.151000  0.122000: require('telescope.algos.linked_list')
 0.132200  0.333000  0.060000: /Users/s09104/.vim/plugged/open-browser.vim/plugin/openbrowser.vim
 0.129600  0.139000  0.113000: require('cmp.view.native_entries_view')
 0.127500  0.139000  0.105000: require('cmp.view.ghost_text_view')
 0.126700  0.134000  0.112000: require('trouble.providers.lsp')
 0.124500  0.615000  0.059000: require('mason-core.async.uv')
 0.121900  0.270000  0.076000: require('trouble.colors')
 0.121300  0.160000  0.102000: require('plenary.async.util')
 0.121200  0.241000  0.090000: require('nvim-treesitter.statusline')
 0.119700  0.173000  0.100000: require('mason-registry.sources')
 0.118900  0.224000  0.067000: /opt/homebrew/Cellar/neovim/0.9.1/share/nvim/runtime/plugin/matchparen.vim
 0.118500  0.129000  0.106000: require('trouble.providers.telescope')
 0.117500  0.277000  0.093000: require('telescope.finders.async_job_finder')
 0.116500  0.282000  0.088000: require('nvim-treesitter.caching')
 0.115100  0.146000  0.100000: require('mason-core.functional.string')
 0.113400  0.127000  0.103000: require('cmp.utils.char')
 0.112500  0.139000  0.101000: require('telescope.actions.state')
 0.110100  0.165000  0.082000: require('mason-core.functional.table')
 0.107700  0.215000  0.085000: require('mason-core.path')
 0.106300  0.474000  0.059000: require('mason-lspconfig.settings')
 0.106200  0.249000  0.080000: require('trouble.text')
 0.105700  0.336000  0.070000: require('trouble.folds')
 0.105200  0.118000  0.088000: require('trouble.providers.qf')
 0.100700  0.121000  0.079000: require('telescope.from_entry')
 0.100500  0.118000  0.087000: require('plenary.async.structs')
 0.100300  0.444000  0.048000: event init
 0.099300  0.117000  0.089000: require('mason.settings')
 0.098700  0.124000  0.089000: require('telescope.pickers.window')
 0.098500  0.111000  0.087000: require('plenary.functional')
 0.098100  0.125000  0.087000: require('plenary.class')
 0.097600  0.148000  0.087000: require('telescope.pickers.multi')
 0.097000  0.115000  0.088000: require('cmp.utils.api')
 0.096700  0.103000  0.083000: require('telescope.state')
 0.096600  0.105000  0.083000: require('trouble.providers.diagnostic')
 0.096300  0.104000  0.086000: init default mappings & autocommands
 0.095100  0.279000  0.043000: /Users/s09104/.vim/plugged/vim-vsnip/autoload/vital/_vsnip/VS/LSP/Text.vim
 0.094800  0.154000  0.083000: require('plenary.tbl')
 0.093600  0.120000  0.072000: require('lspconfig.server_configurations.lua_ls')
 0.093200  0.112000  0.081000: require('telescope.deprecated')
 0.093000  0.165000  0.065000: /Users/s09104/.vim/plugged/vim-vsnip/autoload/vital/_vsnip/VS/LSP/Diff.vim
 0.092200  0.113000  0.078000: early init
 0.091100  0.123000  0.070000: require('cmp.utils.autocmd')
 0.090900  0.187000  0.071000: /Users/s09104/.vim/plugged/vim-gitgutter/autoload/gitgutter.vim
 0.090500  0.109000  0.075000: require('mason-core.EventEmitter')
 0.090200  0.101000  0.083000: require('plenary.window')
 0.090100  0.114000  0.074000: require('plenary.popup.utils')
 0.087200  0.144000  0.062000: require('lspconfig.server_configurations.tsserver')
 0.086500  0.094000  0.080000: require('mason-core.functional.logic')
 0.083300  0.097000  0.074000: require('plenary.errors')
 0.080800  0.126000  0.071000: require('cmp.types.cmp')
 0.080700  0.093000  0.062000: require('lspconfig.server_configurations.gopls')
 0.080600  0.230000  0.036000: /opt/homebrew/Cellar/neovim/0.9.1/share/nvim/runtime/plugin/man.lua
 0.080300  0.087000  0.074000: require('mason-core.functional.relation')
 0.080300  0.092000  0.066000: require('cmp.utils.cache')
 0.079400  0.101000  0.066000: require('cmp.utils.event')
 0.078900  0.258000  0.038000: /Users/s09104/.vim/plugged/lazygit.nvim/plugin/lazygit.vim
 0.077100  0.109000  0.059000: require('lspconfig.server_configurations.marksman')
 0.076000  0.092000  0.068000: require('cmp.utils.debug')
 0.075900  0.104000  0.066000: require('cmp.utils.buffer')
 0.074600  0.090000  0.062000: require('lspconfig.server_configurations.vimls')
 0.073800  0.083000  0.065000: require('mason-core.functional.data')
 0.073000  0.116000  0.066000: /Users/s09104/.vim/plugged/vim-gitgutter/autoload/gitgutter/highlight.vim
 0.072700  0.083000  0.062000: require('cmp.config.sources')
 0.072600  0.087000  0.061000: require('lspconfig.server_configurations.dagger')
 0.072600  0.083000  0.061000: require('cmp.utils.pattern')
 0.072500  0.111000  0.059000: require('mason-lspconfig.notify')
 0.071900  0.084000  0.059000: require('cmp.utils.options')
 0.071700  0.082000  0.059000: /Users/s09104/.vim/plugged/vim-vsnip/autoload/vital/_vsnip/VS/LSP/TextEdit.vim
 0.070600  0.086000  0.054000: /opt/homebrew/Cellar/neovim/0.9.1/share/nvim/runtime/plugin/zipPlugin.vim
 0.069800  0.084000  0.064000: require('cmp.config.window')
 0.069700  0.182000  0.044000: /opt/homebrew/Cellar/neovim/0.9.1/share/nvim/runtime/plugin/tarPlugin.vim
 0.069600  0.122000  0.038000: /Users/s09104/.vim/plugged/vim-rhubarb/plugin/rhubarb.vim
 0.068500  0.137000  0.031000: /Users/s09104/.vim/plugged/rainbow_csv/plugin/rainbow_csv.vim
 0.068300  0.146000  0.035000: /Users/s09104/.vim/plugged/fern.vim/plugin/fern.vim
 0.067800  0.096000  0.054000: require('cmp.types.vim')
 0.067300  0.088000  0.057000: /Users/s09104/.vim/plugged/vim-vsnip/autoload/vital/_vsnip/VS/Vim/Buffer.vim
 0.062900  0.100000  0.022000: /Users/s09104/.vim/plugged/rust.vim/plugin/cargo.vim
 0.058800  0.101000  0.052000: require('vim._editor')
 0.057000  0.124000  0.037000: /Users/s09104/.vim/plugged/copilot.vim/autoload/copilot/job.vim
 0.055200  0.138000  0.027000: /Users/s09104/.vim/plugged/FixCursorHold.nvim/plugin/fix_cursorhold_nvim.vim
 0.053200  0.159000  0.039000: /opt/homebrew/Cellar/neovim/0.9.1/share/nvim/runtime/syntax/synload.vim
 0.050600  0.092000  0.026000: /Users/s09104/.vim/plugged/memolist.vim/plugin/memolist.vim
 0.048000  0.298000  0.011000: /Users/s09104/.config/nvim/settings/plugconfig/trouble.vim
 0.046900  0.096000  0.025000: require('vim.shared')
 0.046200  0.099000  0.024000: /Users/s09104/.vim/plugged/trouble.nvim/plugin/trouble.vim
 0.043300  0.062000  0.031000: /opt/homebrew/Cellar/neovim/0.9.1/share/nvim/runtime/plugin/nvim.lua
 0.043300  0.078000  0.028000: require('vim.inspect')
 0.041000  0.053000  0.034000: init first window
 0.038800  0.095000  0.018000: /Users/s09104/.vim/plugged/previm/plugin/previm.vim
 0.038400  0.084000  0.026000: /opt/homebrew/Cellar/neovim/0.9.1/share/nvim/runtime/plugin/shada.vim
 0.034400  0.107000  0.012000: /Users/s09104/.vim/plugged/vim-goimports/plugin/goimports.vim
 0.034200  0.052000  0.022000: /Users/s09104/.vim/plugged/cmp-nvim-lsp/after/plugin/cmp_nvim_lsp.lua
 0.033000  0.062000  0.014000: /Users/s09104/.vim/plugged/nvim-web-devicons/plugin/nvim-web-devicons.vim
 0.031800  0.061000  0.014000: /Users/s09104/.vim/plugged/vim-cue/plugin/cue.vim
 0.028600  0.051000  0.015000: /Users/s09104/.vim/plugged/rust.vim/plugin/rust.vim
 0.028300  0.071000  0.018000: /Users/s09104/.vim/plugged/vim-terraform/ftdetect/hcl.vim
 0.026100  0.032000  0.021000: /Users/s09104/.vim/plugged/vim-vsnip/autoload/vital/_vsnip/VS/Vim/Option.vim
 0.021500  0.026000  0.015000: inits 2
 0.020900  0.036000  0.017000: require('vim._meta')
 0.020700  0.090000  0.012000: /Users/s09104/.vim/plugged/plantuml-syntax/ftdetect/plantuml.vim
 0.018900  0.039000  0.009000: /Users/s09104/.vim/plugged/vim-vsnip/autoload/vital/_vsnip.vim
 0.018800  0.034000  0.011000: /opt/homebrew/Cellar/neovim/0.9.1/share/nvim/runtime/ftoff.vim
 0.018800  0.036000  0.011000: /Users/s09104/.vim/plugged/fern-git-status.vim/plugin/fern_git_status.vim
 0.017400  0.027000  0.012000: /Users/s09104/.vim/plugged/vim-javascript/ftdetect/javascript.vim
 0.017333  0.045000  0.004000: /opt/homebrew/Cellar/neovim/0.9.1/share/nvim/runtime/ftplugin.vim
